Text,True Label,Predicted Label
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,positive
"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",neutral,positive
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,positive.
"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",neutral,negative.
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",neutral,neutral
The order is related to renewing the network of the telecommunications operator .,neutral,positive
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,neutral
The company does not disclose the sum it applied for .,neutral,neutral
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral,negative
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,neutral
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,neutral.
"Finnair 's Tallinn-based subsidiary , Aero AS , carried 23,335 passengers , a decline of 60.8 % , on routes between Helsinki and the Baltic capitals and within Southern Finland .",neutral,negative
The agreement is valid for four years .,neutral,neutral
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,negative.
"For the purposes of the possible acquisition , PKC would establish a subsidiary in Poland .",neutral,neutral
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral,positive
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral,neutral
The total investment of the project will be approximately EUR 36m .,neutral,neutral
The company does not at present hold any of its own shares .,neutral,neutral
About Dopplr Dopplr is a service for smart travellers .,neutral,neutral.
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,neutral,negative
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,positive
Valeant Said to Name New CEO With Pearson Still Hospitalized,neutral,neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral,neutral
"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",neutral,negative
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral,neutral
Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,neutral,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,neutral
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",neutral,neutral
The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral,neutral.
Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral,neutral
"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share .",neutral,positive
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",neutral,negative
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,neutral
The studies are expected to start in 2008 .,neutral,neutral
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",neutral,negative
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",neutral,neutral
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,neutral
"After the transaction , Tikkurila has no powder coatings related operations .",neutral,neutral
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,neutral
Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .,neutral,negative
`` BG Crane has been a strong partner for Hiab in Australia for many years .,neutral,positive
"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .",neutral,neutral.
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral,neutral
The plant is expected to start production in the first half of 2007 .,neutral,positive
Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral,neutral
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,neutral
An Apple spokeswoman said the company declined to comment .,neutral,neutral
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications .",neutral,neutral
"First Industrial will seek LEED designation for Uponor 's new building and a 282,000 square-foot speculative distribution center at First Park Lakeville .",neutral,positive
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",positive,positive
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,positive,positive
Its market share widened to 48.51 percent from 48.31 percent a year earlier .,positive,positive
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,positive,neutral
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",positive,positive
"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",positive,positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,positive
Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,positive,positive
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,positive,positive
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,positive
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,positive
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive
